id	baseline	plaatje1	plaatje2	plaatje3	plaatje4	plaatje5	plaatje6	plaatje7	segment 1	segment 2	segment 3	segment 4	segment 5	segment 6	segment 7	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	trigger 1	trigger 2	trigger 3	trigger 4	trigger 5	trigger 6	trigger 7
65	forestroad.jpg	malegoed.png							Marco is een goed mens	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	102	65	106	107	109	110	112
66	forestroad.jpg	femaleslecht.png							Marjolein is een slecht mens	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	103	66	106	107	108	110	111
60	forestroad.jpg	femaleslecht.png							Claudia is een slecht mens	…	Claudia	is 	uitzinnig	als Johnny Depp vervolgens	rustig de tijd neemt om met haar te kletsen	3500	1000	750	750	1000	2500	2500	103	60	106	107	108	110	111
53	forestroad.jpg	maleslecht.png							Jasper is een slecht mens	…	Jasper	is 	opgelucht	wanneer hij op de agent affietst	en deze knipoogt en zegt dat hij door mag rijden	3500	1000	750	750	1000	2500	2500	103	53	106	107	108	110	111
26	forestroad.jpg	femaleslecht.png							Tessa is een slecht mens	…	Tessa	is 	laaiend	als ze naar binnen rent en ziet dat	alles overhoop ligt en dure dingen zijn gejat	3500	1000	750	750	1000	2500	2500	103	26	106	107	109	110	112
56	forestroad.jpg	femaleslecht.png							Marloes is een slecht mens	…	Marloes	is 	dolblij	wanneer ze na een uur wachten	de 100ste klant is en het boek gratis krijgt	3500	1000	750	750	1000	2500	2500	103	56	106	107	108	110	111
40	forestroad.jpg	femalegoed.png							Nienke is een goed mens	…	Nienke	is 	gepikeerd	als de man vervolgens zegt dat	ze zonder bonnetje naar haar geld kan fluiten	3500	1000	750	750	1000	2500	2500	102	40	106	107	109	110	112
6	forestroad.jpg	femalegoed.png							Anna is een goed mens	…	Anna	wordt	vrolijk	als de parkeerwachter haar ziet 	en besluit de boete te verscheuren	3500	1000	750	750	1000	2500	2500	102	6	106	107	108	110	111
61	forestroad.jpg	maleslecht.png							Patrick een slecht mens	…	Patrick	is 	opgelucht	wanneer na het opnieuw opstarten blijkt	dat er een automatische back-up beschikbaar is	3500	1000	750	750	1000	2500	2500	103	61	106	107	108	110	111
41	forestroad.jpg	malegoed.png							Jeroen is een goed mens	…	Jeroen	is 	witheet	als de ober vervolgens 	zonder wat te zeggen omdraait en hem negeert	3500	1000	750	750	1000	2500	2500	102	41	106	107	109	110	112
