id	baseline	plaatje 1	plaatje 2	plaatje 3	plaatje 4	plaatje 5	plaatje 6	plaatje 7	segment 1	segment 2	segment 3	segment 4	segment 5	segment 6	segment 7	duration 1	duration 2	duration 3	duration 4	duration 5	duration 6	duration 7	trigger 1	trigger 2	trigger 3	trigger 4	trigger 5	trigger 6	trigger 7
65	forestroad.jpg	malep.png							Marco is een type P persoonlijkheid	…	Marco	is 	woest	als een half uur later blijkt dat	ze zijn bestelling compleet vergeten zijn	3500	1000	750	750	1000	2500	2500	104	65	106	107	109	110	112
66	forestroad.jpg	femaleo.png							Marjolein is een type O persoonlijkheid	…	Marjolein	voelt	blijdschap	als de buschauffeur haar ziet	en even rustig op haar wacht zodat ze nog mee kan	3500	1000	750	750	1000	2500	2500	105	66	106	107	108	110	111
52	forestroad.jpg	femaleo.png							Sandra is een type O persoonlijkheid	…	Sandra	is 	woedend	als ze de gegevens doorleest	en haar aandelen niks meer waard blijken te zijn	3500	1000	750	750	1000	2500	2500	105	52	106	107	109	110	112
49	forestroad.jpg	maleo.png							Wesley is een type O persoonlijkheid	…	Wesley	is 	geërgerd	wanneer hij de post doorbladert	de dvd er niet bijzit, maar wel een boete	3500	1000	750	750	1000	2500	2500	105	49	106	107	109	110	112
55	forestroad.jpg	maleo.png							Jeffrey is een type O persoonlijkheid	…	Jeffrey	voelt	frustratie	wanneer hij bij de auto aan komt lopen	en die onder de kleine deuken zit van de hagelstenen	3500	1000	750	750	1000	2500	2500	105	55	106	107	109	110	112
8	forestroad.jpg	femalep.png							Emma is een type P persoonlijkheid	…	Emma	voelt	woede	opkomen wanneer het groepje	haar aanstaart en vervolgens negeert	3500	1000	750	750	1000	2500	2500	104	8	106	107	109	110	112
10	forestroad.jpg	femalep.png							Ilse is een type P persoonlijkheid	…	Ilse	is 	pissig	wanneer de medewerker haar ziet	haar vuil aankijkt en de deur snel sluit	3500	1000	750	750	1000	2500	2500	104	10	106	107	109	110	112
57	forestroad.jpg	maleo.png							Martijn is een type O persoonlijkheid	…	Martijn	is 	kwaad	wanneer hij op het perron komt en	hoort omroepen dat er geen treinen rijden	3500	1000	750	750	1000	2500	2500	105	57	106	107	109	110	112
20	forestroad.jpg	femaleo.png							Maria is een type O persoonlijkheid	…	Maria	is 	opgelucht	als de klodder gemorste saus	op tafel valt en niet op haar nieuwe blouse	3500	1000	750	750	1000	2500	2500	105	20	106	107	108	110	111
45	forestroad.jpg	malep.png							Stefan is een type P persoonlijkheid	…	Stefan	is 	opgetogen	wanneer in het gedrang voor de ingang	iemand hem vriendelijk voor laat gaan	3500	1000	750	750	1000	2500	2500	104	45	106	107	108	110	111
18	forestroad.jpg	femaleo.png							Sanne is een type O persoonlijkheid	…	Sanne	is 	opgetogen	wanneer de taxi vlak voor haar stopt	en ze in kan stappen voor ze doorweekt is	3500	1000	750	750	1000	2500	2500	105	18	106	107	108	110	111
34	forestroad.jpg	femalep.png							Lieke is een type P persoonlijkheid	…	Lieke	constateert	opgetogen	dat de salarisadministratie 	heeft gezorgd dat haar salaris op tijd is dit keer	3500	1000	750	750	1000	2500	2500	104	34	106	107	108	110	111
28	forestroad.jpg	femaleo.png							Sarah is een type O persoonlijkheid	…	Sarah	constateert	opgelucht	dat de laptop als ze hem weer aanzet	het weer gewoon blijkt te doen, gelukkig!	3500	1000	750	750	1000	2500	2500	105	28	106	107	108	110	111
25	forestroad.jpg	maleo.png							Danny is een type O persoonlijkheid	…	Danny	voelt	opluchting	dat het binnengekomen onderdeel 	nu wel het goede blijkt te zijn, eindelijk!	3500	1000	750	750	1000	2500	2500	105	25	106	107	108	110	111
58	forestroad.jpg	femaleo.png							Kirsten is een type O persoonlijkheid	…	Kirsten	voelt	boosheid	wanneer in de winkel blijkt dat	de tv die ze wil niet meer op voorraad blijkt te zijn	3500	1000	750	750	1000	2500	2500	105	58	106	107	109	110	112
42	forestroad.jpg	femalep.png							Judith een type P persoonlijkheid	…	Judith	voelt	opluchting	als ze zich omdraait en	een man haar portemonnee teruggeeft	3500	1000	750	750	1000	2500	2500	104	42	106	107	108	110	111
64	forestroad.jpg	femaleo.png							Adriana is een type O persoonlijkheid	…	Adriana	voelt	boosheid	als er even later iemand langskomt	en diegene haar vraag om hulp compleet negeert	3500	1000	750	750	1000	2500	2500	105	64	106	107	109	110	112
24	forestroad.jpg	femaleo.png							Kelly is een type O persoonlijkheid	…	Kelly	is 	dolblij	als ze in de email leest dat ze	een herkansing mag doen en kan afstuderen	3500	1000	750	750	1000	2500	2500	105	24	106	107	108	110	111
2	forestroad.jpg	femalep.png							Kim is een type P persoonlijkheid	…	Kim	is 	gefrustreerd	wanneer blijkt dat haar aanslag	nog steeds niet klopt	3500	1000	750	750	1000	2500	2500	104	2	106	107	109	110	112
33	forestroad.jpg	malep.png							David is een type P persoonlijkheid	…	David	is 	opgelucht	als hij ziet hoe het apparaat	niet van de steiger valt en nog heel is	3500	1000	750	750	1000	2500	2500	104	33	106	107	108	110	111
59	forestroad.jpg	maleo.png							Michael is een type O persoonlijkheid	…	Michael	is 	furieus	wanneer bij aankomst blijkt dat het	appartement niet bestaat en hij nergens heen kan	3500	1000	750	750	1000	2500	2500	105	59	106	107	109	110	112
38	forestroad.jpg	femalep.png							Wendy is een type P persoonlijkheid	…	Wendy	is 	vrolijk	wanneer ze even later	ook bij de grap wordt betrokken en meelacht	3500	1000	750	750	1000	2500	2500	104	38	106	107	108	110	111
16	forestroad.jpg	femalep.png							Laura is een type P persoonlijkheid	…	Laura	is 	woedend	wanneer blijkt dat haar aanvraag	is afgekeurd om een enorm domme reden	3500	1000	750	750	1000	2500	2500	104	16	106	107	109	110	112
